"52;Situasi pagi hari masih terendam banjir. #banjir #BanjirJakarta2020 #peta https://t.co/1jVKKtDM7O https://t.co/gPtNDwEJqm"",""1232120445429633026"",""https://pbs.twimg.com/media/ERle7NmU0AEDuqk.jpg"","""",""in"",""Jakarta Pusat, DKI Jakarta"",""0"",""0"",""0"",""https://x.com/ChefTable15/status/1232120445429633026"",""1231071707592441856"",""ChefTable15""";
"53;Kebakaran di malam #TAHUNBARU2020 Pasar Baru Kel. Pringsewu Selatan Kec. Pringsewu Lampung. Pukul 22.00 WIB @Pringsewuupdate @bnpb_indonesia @infomitigasi @Bencana_ID #BPBD #Pringsewu https://t.co/FJYCyQFzp6"",""1212138169941946368"",""https://pbs.twimg.com/media/ENJhA7dUcAABJWB.jpg"","""",""in"",""Kompleks Pemda, Pekon Klaten, "",""0"",""0"",""2"",""https://x.com/BPBD_Pringsewu/status/1212138169941946368"",""1183653491178270720"",""BPBD_Pringsewu""";
"54;@bijikoook Peta bencana id kalo saya bilang banjir banjir yaa"",""1286613677055987712"","""",""bijikoook"",""in"",""LUCY ISLAND"",""0"",""0"",""0"",""https://x.com/blue_chani/status/1286613677055987712"",""4851918593"",""blue_chani""";
"55;Tanah Bergerak di Purabaya #Sukabumi Semakin Mengkhawatirkan @kabargeologi @vulkanologi_mbg @infoBMKG @infobencana @Bencana_ID @mitigasibencana @BNPB_Indonesia https://t.co/OhQx6BqO9L"",""1225960393589215234"","""","""",""in"",""Sukabumi, Indonesia"",""0"",""0"",""0"",""https://x.com/kulabudi/status/1225960393589215234"",""461113864"",""kulabudi""";
"56;@Choseoyeon_IU Tolong ku ngakak di bls sama peta bencana id dong "",""1347768229771399171"","""",""be_iu2607twt"",""in"",""김 남준 ⛓️"",""0"",""2"",""0"",""https://x.com/Spkyrslf1/status/1347768229771399171"",""1111088525355540482"",""Spkyrslf1""";
"57;Syukur Penyintas Tanah Bergerak Sukabumi Pindah ke Rumah Sementara Meski Hanya 4x4 Meter https://t.co/C7bK7vX4ZP @infobencana @BNPB_Indonesia @Bencana_ID @siagabencana @ridwankamil"",""1168031768760373248"","""","""",""in"",""Sukabumi, Indonesia"",""0"",""0"",""0"",""https://x.com/kulabudi/status/1168031768760373248"",""461113864"",""kulabudi""";
"58;Jalan #Sukabumi #Sagaranten masih terhambat di lokasi tanah bergerak #Nyalindung yg terjadi April 2019 @ridwankamil @binamargajabar @infobencana @Bencana_ID https://t.co/QHn2AHwEO5"",""1215518539592765440"","""","""",""in"",""Sukabumi, Indonesia"",""0"",""0"",""1"",""https://x.com/kulabudi/status/1215518539592765440"",""461113864"",""kulabudi""";
"59;@budak_cjr @petabencana Kok gw ngakak ya bacanya.. sepertinya bencana kata kunci Mimin peta bencana id Nyamber"",""1222475347800707072"","""",""budak_cjr"",""in"","""",""0"",""1"",""0"",""https://x.com/Tubang14/status/1222475347800707072"",""1061068879361785856"",""Tubang14""";
"60;@petabencana @dhistast Nulis banjir langsung keluar bencana id dong "",""1286875776504090624"","""",""petabencana"",""in"",""Temanggung, Indonesia"",""0"",""1"",""0"",""https://x.com/zaenun_faiz/status/1286875776504090624"",""475862742"",""zaenun_faiz""";
"61;@ikramarki Summon bot peta https://t.co/J1Dm8KuFjA"",""1283291627511898114"","""",""ikramarki"",""en"",""Indonesia"",""0"",""0"",""0"",""https://x.com/mvhmwdaqil/status/1283291627511898114"",""370696941"",""mvhmwdaqil""";
"62;TRC @BPBD_KabJepara lakukan kajian &amp";" penilaian rumah roboh milik ibu MASTUNAH RT 3/2 Mayong Jepara akibat hujan pada Kamis (20/2) kemaren. @BNPB_Indonesia @bpbdjateng @jeparakabgoid @arwinbpbdjpr @masandijepara @PMIKabJepara @Bencana_ID @mitigasibencana https://t.co/0nmN5oTkRZ"",""1230802875279761408"",""https://pbs.twimg.com/media/ERSwpBSUYAEImB-.jpg"","""",""in"",""Jl. Mangunsarkoro 41 Jepara"",""0"",""0"",""4"",""https://x.com/BPBD_KabJepara/status/1230802875279761408"",""4603195212"",""BPBD_KabJepara"""
"63;apa benar kalo kita ngetik kata banjir bakal dibales sama peta bencana id?"",""1266395632886886401"","""","""",""in"",""hiiii"",""0"",""7"",""0"",""https://x.com/O95TINYZ/status/1266395632886886401"",""1242426481222938629"",""O95TINYZ""";
"64;@BBCIndonesia Berbagi pengetahuan soal peralatan untuk penanganan #karhutla dong . Selain selang dan mobil damkar tentunya. @BNPB_Indonesia @Bencana_ID @mitigasibencana @infobencana"",""1177876396791582720"","""",""BBCIndonesia"",""in"",""Rajabasa | Bandarlampung"",""0"",""0"",""0"",""https://x.com/KopBam/status/1177876396791582720"",""72699754"",""KopBam""";
